product_id,product_name,category,subcategory,brand,unit_price,cost,is_active
PROD2001,Laptop Pro 15,ELECTRONICS,COMPUTERS,TechBrand,1299.99,850.00,true
PROD2002,Wireless Mouse,ELECTRONICS,ACCESSORIES,TechBrand,29.99,12.00,true
PROD2003,USB-C Cable,ELECTRONICS,ACCESSORIES,TechBrand,19.99,5.00,true
PROD2004,4K Monitor 27,ELECTRONICS,DISPLAYS,ViewMax,449.99,280.00,true
PROD2005,Mechanical Keyboard,ELECTRONICS,ACCESSORIES,TechBrand,89.99,35.00,true
PROD2006,Office Chair Ergonomic,FURNITURE,SEATING,ComfortPlus,299.99,150.00,true
PROD2007,Standing Desk,FURNITURE,DESKS,ComfortPlus,599.99,320.00,true
PROD2008,Desk Lamp LED,FURNITURE,LIGHTING,BrightLight,49.99,20.00,true
PROD2009,Bookshelf 5-Tier,FURNITURE,STORAGE,ComfortPlus,159.99,80.00,true
PROD2010,Whiteboard Large,OFFICE,SUPPLIES,OfficePro,79.99,35.00,true
PROD2011,Printer All-in-One,ELECTRONICS,PRINTERS,TechBrand,249.99,130.00,true
PROD2012,Paper Ream 500,OFFICE,SUPPLIES,OfficePro,9.99,4.00,true
PROD2013,Pen Set 12-Pack,OFFICE,SUPPLIES,WriteMate,14.99,5.00,true
PROD2014,Notebook Spiral,OFFICE,SUPPLIES,WriteMate,4.99,1.50,true
PROD2015,Coffee Maker,APPLIANCES,KITCHEN,HomeBrew,79.99,40.00,true
PROD2016,Microwave 1.1 Cu Ft,APPLIANCES,KITCHEN,HomeBrew,129.99,65.00,true
PROD2017,Blender Pro,APPLIANCES,KITCHEN,HomeBrew,99.99,45.00,true
PROD2018,Vacuum Cleaner,APPLIANCES,CLEANING,HomeBrew,199.99,95.00,true
PROD2019,Air Purifier,APPLIANCES,CLIMATE,HomeBrew,149.99,70.00,true
PROD2020,Desk Organizer,OFFICE,ACCESSORIES,OfficePro,24.99,10.00,true
PROD2021,Filing Cabinet,FURNITURE,STORAGE,ComfortPlus,189.99,90.00,true
PROD2022,Laptop Bag,ELECTRONICS,ACCESSORIES,TechBrand,49.99,20.00,true
PROD2023,External Hard Drive 2TB,ELECTRONICS,STORAGE,TechBrand,89.99,40.00,true
PROD2024,Webcam HD,ELECTRONICS,ACCESSORIES,TechBrand,69.99,30.00,true
PROD2025,Headphones Wireless,ELECTRONICS,AUDIO,TechBrand,159.99,75.00,true




